Algorithm,Epoch,First Term (weight1 * labels_kl),Second Term (weight2 * values_mse),Graph Loss (1e-6 * l1_loss),Total Loss,First Term Std,Second Term Std,Graph Loss Std,Total Loss Std
Delaunay,1,0.8082253809086979,0.08679050010628998,0.004299718772090273,0.8993155989050865,0.04637542444217556,0.01645927842691559,0.0011006132870676883,0.04970341349460403
Delaunay,5,0.03608326300993212,0.13918359797913582,0.016312305348692463,0.1915791665017605,0.0327864141956317,0.045556814257175816,0.0021479213263128874,0.04071099000251454
Delaunay,10,0.03114192170818569,0.11156544719589874,0.01701714962022379,0.15972451862879097,0.015328614987589221,0.06774475221682208,0.002372140957032549,0.06147837444758118
Delaunay,15,0.028853538748662685,0.07439925872778985,0.017552021549781784,0.12080481893848628,0.013931035422261318,0.060723435437164325,0.0024504892707175856,0.06274076128461092
Delaunay,20,0.020556096988584613,0.05272069310478401,0.017392938421689905,0.09066972845001146,0.010142174185168218,0.05243745355577204,0.0023034214196458367,0.05468084999756235
Delaunay,25,0.013169330563105177,0.0454451718099881,0.017067390713491476,0.07568189312471077,0.007275750565293962,0.04873966425127267,0.002254214239781244,0.051004765268871925
Delaunay,30,0.0062135897629559626,0.04117549232934834,0.016596909634536132,0.06398599163279868,0.0037216495438282178,0.045144252921622566,0.002259905469151488,0.04633468503470162
Beta Skeleton (β=1.7),1,0.7796815922111273,0.08819273478351533,0.0013339447255020787,0.8692082706652582,0.0574458473383229,0.01592962536099277,0.0003742100444516469,0.06006179911530093
Beta Skeleton (β=1.7),5,0.046666227746318324,0.13389081919915044,0.006670314949587919,0.18722736179828645,0.03726148289985581,0.047032676799338376,0.0011935846406267727,0.04144902623084703
Beta Skeleton (β=1.7),10,0.03229179266127176,0.10888993700791616,0.007140963017009199,0.14832269249251112,0.017139753463156295,0.07111984155602845,0.001053358504611416,0.06289665076810207
Beta Skeleton (β=1.7),15,0.025444705201953185,0.07606804692128208,0.007475548299553338,0.10898830037214793,0.01132146270609815,0.07460757889807343,0.0010368973503923824,0.07372956654205773
Beta Skeleton (β=1.7),20,0.01817037339831586,0.06129030404787045,0.00752912672876846,0.0869898041896522,0.00919543957458158,0.07237832135187251,0.0010128027010736893,0.07383984775280622
Beta Skeleton (β=1.7),25,0.01148901381318865,0.05445258848892991,0.007447928534529638,0.07338953084428795,0.007056305590238084,0.06887565013516983,0.0009457856295502065,0.07182521161478385
Beta Skeleton (β=1.7),30,0.00578465296257491,0.05231696875300258,0.007298788179468829,0.06540040989755652,0.004518158665961431,0.07333406103913849,0.0008633614556198955,0.07575099104481671
Gabriel (β=1.0),1,0.7934461198933422,0.08693644887534901,0.001849817772708775,0.8822323847003282,0.05373040985987097,0.01661160165797158,0.00044154019705466407,0.0550601028283462
Gabriel (β=1.0),5,0.044245833369059254,0.13041723201575223,0.009763841469248292,0.18442690694238992,0.03630644762202903,0.043329273237755574,0.001487454513832484,0.04839801431414661
Gabriel (β=1.0),10,0.032476387038768734,0.10203616591868922,0.010103156874829438,0.144615709844511,0.018775273169830926,0.06686944895566684,0.0013173668851192857,0.06244046118420732
Gabriel (β=1.0),15,0.027313633474477683,0.06911159001756459,0.010328007311036344,0.10675323080737144,0.015505288393450563,0.05902532245665017,0.0013984874326071603,0.059791670622254656
Gabriel (β=1.0),20,0.018553291262796846,0.053775842137984003,0.010258164900005796,0.08258729830733501,0.009468706861616724,0.057559608604112245,0.0013687124709638365,0.058645782210681625
Gabriel (β=1.0),25,0.012193523100868332,0.0508609744743444,0.009998409259715117,0.07305290689575486,0.007130782145866599,0.06496827343411857,0.0012548747885761731,0.06865012022746149
Gabriel (β=1.0),30,0.006062427941869828,0.049185866124753376,0.009710314214753452,0.06495860829716549,0.00433106505672477,0.06260047676247978,0.0012576249737252547,0.06526021006409635
DAL,1,0.7893337651342154,0.08698908128542826,0.001677951122255763,0.8780007959902286,0.05291433098784781,0.016522963418340388,0.0004198766237999341,0.05695699896690008
DAL,5,0.040201714036666086,0.13126831448986195,0.00894455133122392,0.18041458003222943,0.03613222829166865,0.04952552373130502,0.0016564829514781056,0.04652468198415562
DAL,10,0.030789409603603417,0.09921951885567978,0.008695074134157038,0.13870400240877642,0.01535757489407141,0.0665494754385014,0.0014004432904861045,0.06225506441679517
DAL,15,0.0268670503856265,0.06311319908418227,0.00892697475879686,0.09890722419135273,0.01173792784446992,0.05506883150206763,0.0011888484886279167,0.055412267941007426
DAL,20,0.018333941577002407,0.04966648330970202,0.008933200303290504,0.07693362530553713,0.007441387267333389,0.04888488081242496,0.0011548883434187834,0.0498561388281015
DAL,25,0.011658916016167496,0.04286002426117193,0.008771997873263899,0.06329093812033534,0.005141598655931173,0.04915042271858288,0.001060342096083406,0.049930650353034046
DAL,30,0.005618807016071514,0.04268623376410687,0.008581482486624737,0.05688652318320237,0.0027064448222309887,0.05376821570730862,0.0010357534083998607,0.05417521906054605
